id,label,SampleID,CenterID,ContributorID,Tasks,DataLocation,CenterName,InstrumentID,ModelName,DependencyID,ModelLicense,TaskName,TaskID,ModelID,DataID,F1_Score,Output,SampleName,Username,TestID,InstrumentName
631906c650ca89ceda9ba0a8,"[""User""]",,"[""631906c6256888ddf0082c82""]",,,,,,,,,,,,,,,,Jacob Jones,,
631906c6b120a20c188ecba5,"[""User""]",,"[""631906c6256888ddf0082c8e""]",,,,,,,,,,,,,,,,Mauro Sardela,,
631906c797552810f8d8b52b,"[""User""]",,"[""631906c7256888ddf0082c9a""]",,,,,,,,,,,,,,,,Benjamin A. Kowalski,,
631906c86a7bfcb30c374acf,"[""User""]",,"[""631906c8256888ddf0082ca6""]",,,,,,,,,,,,,,,,Anonymous,,
631906c80fdfd927bffa42f7,"[""User""]",,"[""631906c8256888ddf0082cb2""]",,,,,,,,,,,,,,,,Anonymous,,
631906c9fe787bebbddc3862,"[""User""]",,"[""631906c9256888ddf0082cbe""]",,,,,,,,,,,,,,,,Anonymous,,
631906cabbdcbfe1bda4dc66,"[""User""]",,"[""631906ca256888ddf0082cca""]",,,,,,,,,,,,,,,,SciPy,,
631906caf1ec60889754f25c,"[""User""]",,"[""631906ca256888ddf0082cd6""]",,,,,,,,,,,,,,,,PeakUtils,,
631906cb117761caf535a566,"[""User""]",,"[""631906cb256888ddf0082ce2""]",,,,,,,,,,,,,,,,Mengying Wang,,
631906ccfc8b5dce7de0552e,"[""User""]",,"[""631906cc256888ddf0082cee""]",,,,,,,,,,,,,,,,Xuerun Li,,
631906ccffd587a310ae84fa,"[""User""]",,"[""631906cc256888ddf0082cfa""]",,,,,,,,,,,,,,,,Deepali Eilidh Sood,,
631906cdb4f8e3cb4511aca1,"[""User""]",,"[""631906cd256888ddf0082d07""]",,,,,,,,,,,,,,,,Léa Lévy,,
631906cecc907945ad098baf,"[""User""]",,"[""631906cd256888ddf0082d07""]",,,,,,,,,,,,,,,,Amao Abduljamiu,,
